dir,base,name,offset,rom_addr,usize,method,csize
0x0460540,0x470000,SCG06EA.JIM,0x23D604,0x06AD604,0x2DD0,0x2200,0x908
0x0460540,0x470000,SCG07EA.JIM,0x23DF0C,0x06ADF0C,0x30F0,0x2200,0xA56
0x0460540,0x470000,SCG08EA.JIM,0x23E962,0x06AE962,0x6408,0x2200,0x1412
0x0460540,0x470000,SCG08EB.JIM,0x23FD74,0x06AFD74,0x3F00,0x2200,0xCA4
0x0460540,0x470000,SCG09EA.JIM,0x240A18,0x06B0A18,0x5B20,0x2200,0x1328
0x0460540,0x470000,SCG10EA.JIM,0x241D40,0x06B1D40,0x4108,0x2200,0xD50
0x0460540,0x470000,SCG10EB.JIM,0x242A90,0x06B2A90,0x4108,0x2200,0xD50
0x0460540,0x470000,SCG11EA.JIM,0x2437E0,0x06B37E0,0x5E18,0x2200,0x1323
0x0460540,0x470000,SCG12EA.JIM,0x244B04,0x06B4B04,0x5E18,0x2200,0x1361
0x0460540,0x470000,SCG12EB.JIM,0x245E66,0x06B5E66,0x5E18,0x2200,0x1361
0x0460540,0x470000,SCG13EA.JIM,0x2471C8,0x06B71C8,0x4D10,0x2200,0x1080
0x0460540,0x470000,SCG13EB.JIM,0x248248,0x06B8248,0x4B10,0x2200,0xF84
0x0460540,0x470000,SCG14EA.JIM,0x2491CC,0x06B91CC,0x30F0,0x2200,0xA45
0x0460540,0x470000,SCG15EA.JIM,0x249C12,0x06B9C12,0x4D10,0x2200,0x109B
0x0460540,0x470000,SCG15EB.JIM,0x24ACAE,0x06BACAE,0x4D10,0x2200,0x109B
0x0460540,0x470000,SCG15EC.JIM,0x24BD4A,0x06BBD4A,0x4D10,0x2200,0x109B
0x0460540,0x470000,SCG30EA.JIM,0x24CDE6,0x06BCDE6,0x4D10,0x2200,0x1037
0x0460540,0x470000,SCG90EA.JIM,0x24DE1E,0x06BDE1E,0x4D10,0x2200,0x1037
0x0460540,0x470000,SCB01EA.JIM,0x24EE56,0x06BEE56,0x5B20,0x2200,0x12A8
0x0460540,0x470000,SCB02EA.JIM,0x2500FE,0x06C00FE,0x4F90,0x2200,0x1079
0x0460540,0x470000,SCB02EB.JIM,0x251178,0x06C1178,0x4F90,0x2200,0x1079
0x0460540,0x470000,SCB03EA.JIM,0x2521F2,0x06C21F2,0x4D10,0x2200,0x1066
0x0460540,0x470000,SCB03EB.JIM,0x253258,0x06C3258,0x4D10,0x2200,0x1066
0x0460540,0x470000,SCB04EA.JIM,0x2542BE,0x06C42BE,0x3F00,0x2200,0xCDE
0x0460540,0x470000,SCB04EB.JIM,0x254F9C,0x06C4F9C,0x4D10,0x2200,0x1029
0x0460540,0x470000,SCB05EA.JIM,0x255FC6,0x06C5FC6,0x4F90,0x2200,0x10DF
0x0460540,0x470000,SCB06EA.JIM,0x2570A6,0x06C70A6,0x4108,0x2200,0xE1A
0x0460540,0x470000,SCB06EB.JIM,0x257EC0,0x06C7EC0,0x4108,0x2200,0xE1A
0x0460540,0x470000,SCB06EC.JIM,0x258CDA,0x06C8CDA,0x4108,0x2200,0xE1A
0x0460540,0x470000,SCB07EA.JIM,0x259AF4,0x06C9AF4,0x4310,0x2200,0xDAE
0x0460540,0x470000,SCB07EB.JIM,0x25A8A2,0x06CA8A2,0x4310,0x2200,0xDAE
0x0460540,0x470000,SCB07EC.JIM,0x25B650,0x06CB650,0x4D10,0x2200,0x1015
0x0460540,0x470000,SCB08EA.JIM,0x25C666,0x06CC666,0x4F90,0x2200,0x1062
0x0460540,0x470000,SCB08EB.JIM,0x25D6C8,0x06CD6C8,0x4F90,0x2200,0x1062
0x0460540,0x470000,SCB09EA.JIM,0x25E72A,0x06CE72A,0x3F00,0x2200,0xCDE
0x0460540,0x470000,SCB10EA.JIM,0x25F408,0x06CF408,0x3F00,0x2200,0xD87
0x0460540,0x470000,SCB10EB.JIM,0x260190,0x06D0190,0x4F90,0x2200,0x114F
0x0460540,0x470000,SCB11EA.JIM,0x2612E0,0x06D12E0,0x1E30,0x2200,0x67A
0x0460540,0x470000,SCB11EB.JIM,0x26195A,0x06D195A,0x1E30,0x2200,0x67A
0x0460540,0x470000,SCB12EA.JIM,0x261FD4,0x06D1FD4,0x5B20,0x2200,0x11B6
0x0460540,0x470000,SCB13EA.JIM,0x26318A,0x06D318A,0x4108,0x2200,0xD5A
0x0460540,0x470000,SCB13EB.JIM,0x263EE4,0x06D3EE4,0x4108,0x2200,0xD5A
0x0460540,0x470000,SCB13EC.JIM,0x264C3E,0x06D4C3E,0x4108,0x2200,0xD5A
0x0460540,0x470000,SCB21EA.JIM,0x265998,0x06D5998,0x4D10,0x2200,0x1040
0x0460540,0x470000,SCB22EB.JIM,0x2669D8,0x06D69D8,0x5B20,0x2200,0x12A8
0x0460540,0x470000,SCB22EB.JIM,0x267C80,0x06D7C80,0x5B20,0x2200,0x12A8
0x0460540,0x470000,NTSCTEST.IMG,0x268F28,0x06D8F28,0x25810,0x2200,0x4D9F
0x0460540,0x470000,WATERTST.IMG,0x26DCC8,0x06DDCC8,0x810,0x2200,0x50E
0x0460540,0x470000,WATER1.IMG,0x26E1D6,0x06DE1D6,0x810,0x2200,0x506
0x0460540,0x470000,WATER2.IMG,0x26E6DC,0x06DE6DC,0x810,0x2200,0x4C5
0x0460540,0x470000,BOTTOM.IMG,0x26EBA2,0x06DEBA2,0x810,0x2200,0x475
0x0460540,0x470000,CLEAR1.TEM,0x26F018,0x06DF018,0x2440,0x2200,0xFCB
0x0460540,0x470000,CLEAR1_A.TEM,0x26FFE4,0x06DFFE4,0x2440,0x2200,0xFCB
0x0460540,0x470000,CLEAR1_B.TEM,0x270FB0,0x06E0FB0,0x2440,0x2200,0x9C3
